precinct,category,name,address,neighborhood,phone,website,email,hours,owner,owner_phone,community_friendly,notes
P01,Bar/Nightlife,"MOODY'S RESTAURANT, INC.",5908 N BROADWAY  1ST,EDGEWATER,,,,,,,False,
P01,Bar/Nightlife,Moody's Pub,5910 North Broadway,,(773) 329-5694,http://moodyspub.com/,,,,,False,
P01,Beauty/Salon,FATHER AND SON BARBERSHOP,5806 N BROADWAY,EDGEWATER,(773) 784-6845,https://www.fatherandsonbarbershop.com/,,,,,False,
P01,Beauty/Salon,Father and Son Barber Shop,5806 North Broadway,EDGEWATER,(773) 784-6845,https://www.fatherandsonbarbershop.com/,,,,,False,
P01,Beauty/Salon,NEAR U NAIL SALON,5856 N BROADWAY  1ST,EDGEWATER,,,,,,,False,
P01,Financial,Fifth Third Bank,5922 North Broadway,,,,,Mo-Th 09:00-17:30; Fr 09:00-18:00; Sa 09:00-14:00,,,False,
P01,Other Business,AARON OWENS,1211 W ELMDALE AVE 1ST 1,EDGEWATER,,,,,,,False,
P01,Other Business,"ADAPT/RE:ADAPT PRESERVATION AND CONSERVATION, LLC",1248 W ARDMORE AVE,EDGEWATER,,,,,,,False,
P01,Other Business,ALEX NOEL MILLER,5806 N BROADWAY  2 2,EDGEWATER,,,,,,,False,
P01,Other Business,ARDMORE GLASS CO.,5826 N BROADWAY,EDGEWATER,,,,,,,False,
P01,Other Business,COLLEEN PRENDERGAST,"1259 W VICTORIA ST BSMT, 2ND",EDGEWATER,,,,,,,False,
P01,Other Business,DIGNISSIM ACCOUNTING,1286 W EARLY AVE 1 APT 1 A,EDGEWATER,,,,,,,False,
P01,Other Business,"Exposition Flooring Design Center, Inc",5718 N BROADWAY   1,EDGEWATER,,,,,,,False,
P01,Other Business,"HOUSE 5863, INC.",5863 N GLENWOOD AVE 2,EDGEWATER,,,,,,,False,
P01,Other Business,MAGICAL KEYS VACATIONS,1351 W ROSEDALE AVE 1ST 1,EDGEWATER,,,,,,,False,
P01,Other Business,Marais Home & Garden,1206 W VICTORIA ST GROUND FLOOR,EDGEWATER,,,,,,,False,
P01,Other Business,PEP HOUSE DESIGN CO,5835 N MAGNOLIA AVE 2 2,EDGEWATER,,,,,,,False,
P01,Other Business,RAD POP! VINTAGE EMPORIUM,5820 N BROADWAY  1ST,EDGEWATER,,,,,,,False,
P01,Other Business,"SARAH ZIMMERMAN,",5822 N WAYNE AVE 1,EDGEWATER,,,,,,,False,
P01,Other Business,TAP TO SHINE WELLNESS,1341 W ARDMORE AVE 3 3,EDGEWATER,,,,,,,False,
P01,Other Business,"TWO MOONS, LLC",1358 W THORNDALE AVE  3,EDGEWATER,,,,,,,False,
P01,Other Business,WINIFER CASTANEDA,1235 W ELMDALE AVE  2E,EDGEWATER,,,,,,,False,
P01,Other Business,lcp too,1206 W VICTORIA ST  4B,EDGEWATER,,,,,,,False,
P01,Restaurant,Alice & Friends' Vegan Kitchen,5812 N BROADWAY,EDGEWATER,(773) 275-8797,https://aliceandfriendsvegankitchen.com/,aliceandfriendsvegankitchen@gmail.com,Mo 16:00-21:00; We-Th 16:00-21:00; Fr 16:00-21:30; Sa 12:00-21:30; Su 12:00-21:00,,,False,
P01,Restaurant,Axum Ethiopian,5844 North Broadway,,(773) 654-3038,https://axumethiopiancuisine.com/,,,,,False,
P01,Restaurant,Chengdu Impression,5900 North Broadway,,(773) 942-7077,https://www.chengduimpression.com/edgewater,,,,,False,
P01,Restaurant,La Parrilla Latin Food,5940 North Broadway,,(773) 654-3118,https://myparrilla.com/,,,,,False,
P01,Restaurant,Mas alla del Sol,5848 North Broadway,,(773) 654-1900,https://www.masalladelsolchi.com/,info@masalladelsolrestaurant.com,We-Th 16:00-21:00; Fr 16:00-22:00; Sa 12:00-22:00; Su 10:00-21:00,,,False,
P01,Restaurant/Bar,AXUM ETHIOPIAN RESTAURANT,5844-5846 N BROADWAY  1ST,EDGEWATER,,,,,,,False,
P01,Restaurant/Bar,Chengdu Impression Sichuan Restaurant,5900 N BROADWAY  1,EDGEWATER,,,,,,,False,
P01,Restaurant/Bar,La Parrilla Latin food 2,5938-5940 N BROADWAY  1ST,EDGEWATER,,,,,,,False,
P01,Restaurant/Bar,MAS ALLA DEL SOL,5848 N BROADWAY  1,EDGEWATER,(773) 654-1900,https://www.masalladelsolchi.com/,info@masalladelsolrestaurant.com,We-Th 16:00-21:00; Fr 16:00-22:00; Sa 12:00-22:00; Su 10:00-21:00,,,False,
P01,Retail Shop,MILK & HOLLY HOME,1208 W THORNDALE AVE 1,EDGEWATER,(773) 615-8330,https://www.milkandhollyhome.com/,,,,,False,
P01,Retail Shop,Milk & Holly Home,1208 West Thorndale Avenue,,(773) 615-8330,https://www.milkandhollyhome.com/,,,,,False,
P01,Retail Shop,Richard Alan Estate Options,5936 North Broadway,,(773) 426-6986,http://www.instagram.com/raestateoptions,,Sa-Su 10:00-19:00; Fr 16:00-19:00,,,False,
P01,Studio/Arts,MAGNOLIA STUDIOS,5705 N MAGNOLIA AVE COACH HOUSE #1,EDGEWATER,,,,,,,False,
P01,Studio/Arts,MAGNOLIA STUDIOS,5705 N MAGNOLIA AVE COACH HOUSE #2,EDGEWATER,,,,,,,False,
P02,Other Business,CIRCLE ONE EVENTS,6325 N SHERIDAN RD  701,EDGEWATER,,,,,,,False,
P02,Restaurant/Bar,THE WATERFRONT CAFE,6219 N SHERIDAN RD,EDGEWATER,,http://waterfrontcafechicago.com/,,,,,False,
