precinct,name,type,level,address,phone,website,principal,principal_email,enrollment
P02,Burrowes Hall,College/University,College,6333 North Sheridan Road,,,,,
P02,Sullivan Center for Student Services,College/University,College,6339 North Sheridan Road,,,,,
P03,"EDGEWATER PLAYHOUSE, LLC",Childcare/Preschool,Preschool,1046-1048 W BRYN MAWR AVE 1ST,,,,,
P04,CUPPYCAKES EARLY LEARNING ACADEMY LLC,Childcare/Preschool,Preschool,5010 N SHERIDAN RD 1ST,,,,,
P07,Helen C. Peirce School Of International Studies,Public,K-8,1423 West Bryn Mawr Avenue,,http://peirce.cps.edu/,,,
P07,LAKE SHORE SCHOOLS,Childcare/Preschool,Preschool,5611-5621 N CLARK ST 1 1,,,,,
P07,Peirce School,Public,K-8,1423 West Bryn Mawr Avenue,,,,,
P07,Peirce School Annex,Public,K-8,1457-1505 West Bryn Mawr Avenue,,,,,
P12,SOUTH-EAST ASIA CENTER,Childcare/Preschool,Preschool,1108-1112 W FOSTER AVE,,,,,
P16,Swift Elementary School,Public,K-8,5900 North Winthrop Avenue,,https://www.swiftelementary.org/,,,
P19,SCHOOL OF ROCK ANDERSONVILLE,Childcare/Preschool,Preschool,5600 N RIDGE AVE,,,,,
P21,Goudy Elementary School,Public,K-8,5120 North Winthrop Avenue,,https://www.goudy.cps.edu/,,,
P25,KIDDIES HUB ACADEMY INC.,Childcare/Preschool,Preschool,6208-6212 N BROADWAY  1,,,,,
P27,Arnold Fine Arts Annex,College/University,College,1129-1131 West Sheridan Road,,,,,
P27,BVM Hall,College/University,College,6365 North Sheridan Road,,,,,
P27,Flex Lab,College/University,College,6339 North Broadway,,,,,
P27,Gonzaga Hall,College/University,College,6235 North Kenmore Avenue,,,,,
P27,Hopkins House,College/University,College,6256 North Winthrop Avenue,,,,,
P27,Ignatius House,College/University,College,6324 North Kenmore Avenue,,,,,
P27,Institute of Environmental Sustainability,College/University,College,6349 North Kenmore Avenue,,https://www.luc.edu/sustainability/,,,
P27,Regis Hall,College/University,College,6340 North Winthrop Avenue,,,,,
P27,Sacred Heart School,Public,K-8,6250 North Sheridan Road,,,,,
P27,Sacred Heart Schools,Public,K-8,6250 North Sheridan Road,,,,,
P27,Sherry Hall,College/University,College,6330 North Sheridan Road,,,,,
P27,Simpson Living-Learning Center,College/University,College,6333 North Winthrop Avenue,,,,,
P34,Hayt Elementary School,Public,K-8,1518 West Granville Avenue,,https://www.hayt.cps.edu/,,,
P34,LITTLE KIDDIES INC.,Childcare/Preschool,Preschool,1501-1503 W DEVON AVE 1ST,,,,,
P34,Northside Catholic Academy,Public,K-8,"Chicago, IL 60660",,,,,
P34,"OUT ON FAITH INFANTS & TODDLERS, INC.",Childcare/Preschool,Preschool,1447 W DEVON AVE,,,,,
P34,"OUT ON FAITH LEARNING CENTER, INC.",Childcare/Preschool,Preschool,1443-1445 W DEVON AVE 1ST,,,,,
P35,FAMILIES TOGETHER COOPERATIVE NURSERY SCHOOL,Childcare/Preschool,Preschool,1500 W ELMDALE AVE MAIN,,,,,
P35,Nicholas Senn High School,Public,K-8,5900 North Glenwood Avenue,,,,,
P35,RAYITO DE SOL SPANISH IMMERSION EARLY LEARNING CENTER,Childcare/Preschool,Preschool,6001 N CLARK ST,,,,,
P35,Senn High School,Public,K-8,5900 North Glenwood Avenue,,https://www.sennhs.org/,,,
